acheteur_latitude,acheteur_longitude,montant,acheteur_region_nom,type,titulaire_categorie,year
45.187249,0.725262,19506.0,Nouvelle-Aquitaine,Services,PME,2021.0
43.67538,7.19965,441575.0,Provence-Alpes-Côte d'Azur,Travaux,GE,2022.0
43.514124,1.350426,442999.0,Occitanie,Services,PME,2019.0
47.805743,3.565339,56750.0,Bourgogne-Franche-Comté,Services,PME,2024.0
43.303663,5.377602,512373.0,Provence-Alpes-Côte d'Azur,Services,ETI,2022.0
45.09176,6.063475,60000.0,Auvergne-Rhône-Alpes,Fournitures,,2020.0
48.856145,2.351838,2500000.0,Île-de-France,Services,PME,2025.0
47.236687,6.022095,60000.0,Bourgogne-Franche-Comté,Fournitures,PME,2025.0
48.530335,0.754763,43000.0,Normandie,Services,PME,2021.0
47.211138,-1.557241,200000.0,Pays de la Loire,Fournitures,PME,2021.0
43.730246,7.253353,60000000.0,Provence-Alpes-Côte d'Azur,Services,ETI,2023.0
49.51912,0.543999,31296.0,Normandie,Fournitures,PME,2024.0
48.692844,6.197401,469407.0,Grand Est,Travaux,ETI,2023.0
47.903925,1.918085,560000.0,Centre-Val de Loire,Fournitures,PME,2023.0
49.107222,6.176868,200000.0,Grand Est,Fournitures,ETI,2022.0
47.65732,-2.749963,200000.0,Bretagne,Fournitures,PME,2022.0
48.875447,2.298554,27180.0,Île-de-France,Fournitures,ETI,2024.0
47.65732,-2.749963,199707.5,Bretagne,Travaux,GE,2025.0
45.046605,3.883773,36358.08,Auvergne-Rhône-Alpes,Services,PME,2020.0
47.285748,-2.212411,300000.0,Pays de la Loire,Travaux,ETI,2025.0
43.836451,4.360286,42508.3,Occitanie,Travaux,PME,2024.0
45.190685,5.717379,25397.38,Auvergne-Rhône-Alpes,Fournitures,PME,2022.0
51.037739,2.377449,509391.11,Hauts-de-France,Travaux,ETI,2023.0
45.430737,6.556257,107670.0,Auvergne-Rhône-Alpes,Services,,2023.0
45.918581,6.083355,41872.8,Auvergne-Rhône-Alpes,Travaux,PME,2023.0
46.18182,5.20816,49279.0,Auvergne-Rhône-Alpes,Travaux,PME,2020.0
43.611189,1.456189,245000.0,Occitanie,Services,ETI,2022.0
-21.275652,55.514505,80000.0,La Réunion,Fournitures,GE,2024.0
43.62333,3.836766,1040000.0,Occitanie,Travaux,ETI,2023.0
49.405982,6.24086,47930.0,Grand Est,Services,GE,2026.0
48.893217,2.288793,232000.0,Île-de-France,Services,PME,2025.0
43.67538,7.19965,6000000.0,Provence-Alpes-Côte d'Azur,Travaux,GE,2023.0
43.120024,5.938906,1500000.0,Provence-Alpes-Côte d'Azur,Travaux,PME,2021.0
48.571766,7.756366,7500.0,Grand Est,Services,PME,2025.0
47.002559,3.156631,89821.06,Bourgogne-Franche-Comté,Travaux,PME,2021.0
44.744073,4.750396,800000.0,Auvergne-Rhône-Alpes,Fournitures,ETI,2025.0
48.59211,6.491633,459493.6,Grand Est,Travaux,PME,2020.0
48.844345,2.356233,121895.0,Île-de-France,Fournitures,ETI,2022.0
43.54605,1.14943,45835.1,Occitanie,Travaux,PME,2026.0
-20.886599,55.450005,2803055.32,La Réunion,Services,PME,2020.0
43.125895,0.384783,161855.5,Occitanie,Travaux,ETI,2024.0
49.106618,6.21109,869.0,Grand Est,Travaux,PME,2019.0
43.483033,-1.55865,2295.0,Nouvelle-Aquitaine,Services,PME,2021.0
43.700706,7.278312,58195.0,Provence-Alpes-Côte d'Azur,Services,PME,2022.0
49.125965,6.172102,464000.0,Grand Est,Fournitures,ETI,2026.0
43.696197,7.271743,600000.0,Provence-Alpes-Côte d'Azur,Services,PME,2020.0
48.185145,-1.462372,24000.0,Bretagne,Services,PME,2020.0
43.561566,1.463029,15920.0,Occitanie,Fournitures,PME,2024.0
48.766441,5.158953,70000.0,Grand Est,Services,ETI,2025.0
48.592623,7.733373,75997.0,Grand Est,Travaux,PME,2025.0
43.293444,-0.373623,42900.0,Nouvelle-Aquitaine,Services,PME,2020.0
48.912395,2.331462,9564.32,Île-de-France,Services,PME,2026.0
43.425065,6.768535,56544.5,Provence-Alpes-Côte d'Azur,Travaux,ETI,2022.0
48.834986,2.281644,173900.61,Île-de-France,Travaux,,2023.0
49.201814,6.92836,48820.0,Grand Est,Travaux,PME,2021.0
45.166031,4.821797,458857.0,Auvergne-Rhône-Alpes,Travaux,GE,2022.0
50.703309,3.09206,6572.4,Hauts-de-France,Travaux,PME,2023.0
48.829831,2.377764,4401.0,Île-de-France,Travaux,PME,2019.0
