acheteur_nom,titulaire_nom,titulaire_categorie,cpv_div,montant,offresRecues,ratio_to_median,titulaire_distance,acheteur_departement_nom,dateNotification
COMMUNE DE BRETEUIL (MAIRIE),ENGIE,GE,09,121968000.0,1.0,609.84,82.0,Oise,2025-01-10
RESEAU DES ACHETEURS HOSPITALIERS,DEDALUS HEALTHCARE FRANCE,ETI,48,121400000.0,1.0,878.3989435479988,493.0,Paris,2025-06-11
COMMUNE DE SEPMES (MAIRIE),ENGIE,GE,09,120070000.0,1.0,600.35,234.0,Indre-et-Loire,2024-06-11
DEPARTEMENT DE LA SAVOIE,BOUYGUES TELECOM,GE,64,120000000.0,1.0,625.0,458.0,Savoie,2024-04-10
RESEAU DES ACHETEURS HOSPITALIERS,CAPGEMINI FRANCE,GE,72,120000000.0,1.0,854.3235892981731,10.0,Paris,2025-09-23
CC DU PAYS NOYONNAIS,PROXELIA,ETI,65,120000000.0,1.0,359.30139233780795,24.0,Oise,2023-06-15
COMMUNE DE NOYON (MAIRIE),PROXELIA,ETI,65,120000000.0,1.0,359.30139233780795,22.0,Oise,2023-06-15
EHPAD LES FONTAINES,ESSITY FRANCE,GE,33,120000000.0,1.0,1261.564339781329,251.0,Maine-et-Loire,2023-07-12
EHPAD LA PETITE BRUYERE,ESSITY FRANCE,GE,18,120000000.0,1.0,1500.0,150.0,Sarthe,2023-11-07
RESEAU DES ACHETEURS HOSPITALIERS,ASSUT EUROPE FRANCE,PME,33,120000000.0,1.0,1261.564339781329,11.0,Paris,2025-10-14
CC  VALLEE DES BAUX-ALPILLES (CC VBA),SOCIETE FRANCAISE DU RADIOTELEPHONE - S.F.R (SFR),GE,64,120000000.0,1.0,625.0,593.0,Bouches-du-Rhône,2025-11-13
UNION DES GROUPEMENTS D'ACHATS PUBLICS (UGAP),OELIATEC,PME,16,120000000.0,1.0,1950.9022923101934,330.0,Seine-et-Marne,2025-07-25
COMMUNE DE BAUGE-EN-ANJOU (MAIRIE),SFR BUSINESS DISTRIBUTION,GE,64,120000000.0,1.0,625.0,159.0,Maine-et-Loire,2024-04-10
